"plot","ratio","percentSky","treat","site","Photo.ID"
"10_0",0.17857905831299,0.151520644333022,0,"DALTON",1445
"11_0",0.248921836412999,0.199309379622925,0,"DALTON",1435
"12_1",1.36489333882224,0.577147948457575,1,"DALTON",1410
"15_3",0.846784174848918,0.458518210401165,3,"DALTON",1399
"16_2",0.752983720350496,0.429544046307482,2,"DALTON",1453
"17_3",1.77299082456647,0.639378539899662,3,"STEESE",1505
"18_1",0.967727988737234,0.491799676721711,1,"STEESE",1516
"19_2",2.64279043298076,0.725485169021448,2,"STEESE",1528
"2_3",2.28170405096615,0.695280261574594,3,"STEESE",1519
"22_3",0.960123511206911,0.489828067322009,3,"STEESE",1504
"23_3",1.65295109847971,0.623061276714427,3,"STEESE",1518
"24_3",1.03229322719717,0.507945021605398,3,"STEESE",1511
"25_3",1.68723610913922,0.627870436617376,3,"STEESE",1507
"26_2",1.00410281035787,0.501023602765453,2,"STEESE",1512
"27_2",1.90341328079563,0.655577796445856,2,"STEESE",1522
"28_1",2.47211034895862,0.711990720485042,1,"STEESE",1529
"29_1",0.820672548288681,0.450752415122677,1,"STEESE",1517
"3_2",2.37013203572095,0.70327572053536,2,"STEESE",1524
"33_1",1.43405216758387,0.589162461956337,1,"STEESE",1513
"34_2",0.764200811867485,0.433171103157211,2,"STEESE",1503
"35_3",1.484656694488,0.597529911388395,3,"STEESE",1509
"36_1",3.50646546720836,0.778096602031775,1,"STEESE",1520
"37_3",0.44992178019453,0.310307622342335,3,"DALTON",1395
"4_2",2.36750248518571,0.703044020190277,2,"STEESE",1523
"40_2",0.781060093954416,0.438536631417225,2,"DALTON",1480
"41_1",2.54568447058484,0.717967007979405,1,"DALTON",1446
"42_1",2.20533529537359,0.688020157690415,1,"DALTON",1501
"44_0",0.164192689718561,0.141035664601411,0,"DALTON",1450
"47_2",0.766589712917648,0.433937607194356,2,"DALTON",1394
"48_1",2.78545461801638,0.735830936860098,1,"DALTON",1448
"50_1",2.6066027671545,0.722730762282155,1,"DALTON",1417
"52_1",2.01613727906952,0.668450104396939,1,"DALTON",1428
"54_3",0.660372149072074,0.397725383096274,3,"DALTON",1403
"55_3",1.30096766483837,0.565400237786373,3,"DALTON",1401
"58_0",0.210429225171918,0.173846781617513,0,"DALTON",1443
"64_1",1.11260047648106,0.526649732813801,1,"DALTON",1418
"65_1",2.28993051997295,0.69604221307135,1,"DALTON",1424
"7_3",0.978164089504055,0.494480763599996,3,"DALTON",1409
"8_2",1.45680005086087,0.59296646886278,2,"DALTON",1473
